4.62,3.95
1.64,3.03
9.63,5.40
4.54,3.34
2.94,9.00
5.85,3.17
7.15,5.88
9.86,6.04
6.68,4.48
6.63,4.04
4.20,2.63
3.08,4.64
4.32,3.80
8.01,4.93
-0.01,2.53
1.05,2.76
3.64,3.56
5.53,5.09
0.87,5.19
0.67,2.74
6.98,4.64
5.00,4.01
8.71,5.05
7.42,3.25
2.32,9.66
9.29,5.26
9.38,7.35
8.32,4.99
3.51,2.63
3.97,3.72
2.04,3.05
6.04,4.29
8.97,5.17
3.03,1.13
1.37,2.93
2.65,3.31
2.33,3.21
6.33,4.35
0.47,7.02
0.75,9.47
2.98,3.40
3.36,3.48
0.98,8.53
3.68,9.93
5.38,4.14
2.82,4.58
0.38,2.62
8.99,4.60
2.84,5.79
1.08,6.25
1.38,4.18
7.69,4.83
8.56,2.91
7.31,9.64
5.67,4.21
8.56,6.10
0.32,3.28
7.28,4.69
